SUBJECT	Coursecode	GRADING_BASIS_ENRL	Gender	AGE	YearSchool	COMP_ACT_SCORE	URM	msl01	msl02	msl03	msl04	msl05	msl06	msl07	msl08	msl09	msl10	msl11	msl12	msl13	msl14	msl15	msl16	msl17	msl18	msl19	msl20	Exams_percent	Course_percent	NonExam_percent	ZExams_percent	ZCourse_percent	ZNonExam_percent
BIOL	1001.1	A-F	0	22	Junior	22	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.533333333	0.7302	0.927066667	-1.854509909	-1.517211938	-0.233939916
BIOL	1001.1	A-F	1	22	Junior	22	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.741666667	0.8461	0.950533333	-0.18786311	-0.11854463	0.04572616
BIOL	1001.1	A-F	1	22	Junior	23	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	0	22	Senior	24	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.6695	0.7789	0.8883	-0.765189562	-0.929506175	-0.695945113
BIOL	1001.1	A-F	0	22	Junior	24	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.675	0.754	0.833	-0.721190087	-1.229996391	-1.354987774
BIOL	1001.1	A-F	0	22	Sophomore	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.731916667	0.8625	0.993083333	-0.26586218	0.079368605	0.552819564
BIOL	1001.1	A-F	0	22	Junior	28	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	S-N	0	22	Senior	28	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.838833333	0.8056	0.772366667	0.589460949	-0.607293775	-2.077590905
BIOL	1001.1	A-F	1	22	Junior	30	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.783333333	0.783	0.782666667	0.145466243	-0.880027867	-1.95483974
BIOL	1001.1	A-F	1	22	Junior	30	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.79725	0.7268	0.65635	0.256798251	-1.558242731	-3.460229837
BIOL	1001.1	A-F	0	22	Senior	30	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.913916667	0.9687	1.023483333	1.190120459	1.360977476	0.915114264
BIOL	1001.1	A-F	1	22	Sophomore	32	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.8	0.8911	0.9822	0.278797989	0.424509977	0.423116477
BIOL	1001.1	A-F	0	22	Senior	32	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.920833333	0.964	1.007166667	1.245453127	1.30425844	0.720658948
BIOL	1001.1	S-N	1	21	Junior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.495833333	0.6631	0.830366667	-2.154506332	-2.326966696	-1.386370754
BIOL	1001.1	S-N	0	21	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.775083333	0.8878	1.000516667	0.07946703	0.384685972	0.641406982
BIOL	1001.1	A-F	1	21	Junior	17	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.498583333	0.6837	0.868816667	-2.132506595	-2.078368365	-0.928139464
BIOL	1001.1	A-F	0	21	Junior	19	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.43475	0.69	0.94525	-2.64316717	-2.00234072	-0.01723843
BIOL	1001.1	A-F	0	21	Sophomore	20	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.633333333	0.8173	1.001266667	-1.054519448	-0.466099578	0.650345174
BIOL	1001.1	A-F	1	21	Junior	22	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.533416667	0.7109	0.888383333	-1.853843245	-1.750122025	-0.694951984
BIOL	1001.1	A-F	1	21	Sophomore	22	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.59725	0.7735	0.94975	-1.34318267	-0.994672728	0.03639072
BIOL	1001.1	A-F	0	21	Sophomore	24	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.601416667	0.7937	0.985983333	-1.309849732	-0.750901549	0.468204684
BIOL	1001.1	A-F	1	21	Junior	24	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.79025	0.8815	0.97275	0.200798919	0.308658328	0.310495262
BIOL	1001.1	A-F	1	21	Junior	24	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.856916667	0.804	0.751083333	0.734125896	-0.626602384	-2.331236928
BIOL	1001.1	A-F	1	21	Junior	25	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.794416667	0.887	0.979583333	0.234131858	0.375031668	0.391932115
BIOL	1001.1	A-F	0	21	Sophomore	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.743083333	0.7864	0.829716667	-0.176529918	-0.838997074	-1.394117187
BIOL	1001.1	A-F	1	21	Junior	26	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.754166667	0.7873	0.820433333	-0.087864303	-0.828135982	-1.504752144
BIOL	1001.1	A-F	0	21	Senior	27	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.681916667	0.8429	1.003883333	-0.665857411	-0.157161846	0.681529523
BIOL	1001.1	A-F	1	21	Sophomore	27	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.713916667	0.7834	0.852883333	-0.409860463	-0.875200715	-1.118026387
BIOL	1001.1	A-F	0	21	Junior	28	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.748666667	0.7762	0.803733333	-0.131863778	-0.962089452	-1.703775877
BIOL	1001.1	WTH	0	21	Sophomore	29	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	0	21	Junior	29	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.704166667	0.7169	0.729633333	-0.487859533	-1.677714744	-2.586869208
BIOL	1001.1	A-F	1	21	Junior	30	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.827833333	0.869	0.910166667	0.501461998	0.157809826	-0.435347167
BIOL	1001.1	A-F	0	21	Senior	31	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	A-F	0	20	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
BIOL	1001.1	S-N	0	20	Junior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.430583333	0.6879	0.945216667	-2.676500108	-2.027683268	-0.017635679
BIOL	1001.1	S-N	0	20	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.580583333	0.7919	1.003216667	-1.476514417	-0.772623733	0.673584472
BIOL	1001.1	S-N	1	20	Junior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.619416667	0.7748	0.930183333	-1.165851449	-0.978984484	-0.196796772
BIOL	1001.1	S-N	0	20	Junior	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.65275	0.7995	0.94625	-0.899187965	-0.680907844	-0.005320841
BIOL	1001.1	S-N	1	20	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.740333333	0.8158	0.891266667	-0.198529655	-0.484201398	-0.660589595
BIOL	1001.1	A-F	0	20	Non-degree	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.7875	0.893	0.9985	0.178799182	0.447438949	0.617373174
BIOL	1001.1	A-F	1	20	Sophomore	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0.8195	0.8904	0.9613	0.434796129	0.416062461	0.17403887
